SYMBOL,SECTOR,MARKET_CAP
BALKRISHNA,Consumer Cyclical,53.36
BALKRISIND,Consumer Cyclical,41126.29
BALMLAWRIE,Industrials,2754.6
BALPHARMA,Healthcare,114.06
BALRAMCHIN,Consumer Defensive,9768.87
BALUFORGE,Industrials,5466.26
BANARBEADS,Consumer Cyclical,71.11
BANARISUG,Consumer Defensive,4524.57
BANCOINDIA,Consumer Cyclical,7676.44
BANDHANBNK,Financial Services,24024.43
BANG,Consumer Cyclical,43.45
BANKA,Industrials,64.93
BANKBARODA,Financial Services,133472.86
BANKINDIA,Financial Services,62621.94
BANSALWIRE,Basic Materials,3975.2
BANSWRAS,Consumer Cyclical,357.25
BASF,Basic Materials,14367.37
BASML,Consumer Cyclical,167.92
BATAINDIA,Consumer Cyclical,8604.92
BAYERCROP,Basic Materials,20915.85
BBL,Industrials,2633.94
BBOX,Technology,8375.92
BBTC,Consumer Defensive,9985.06
BBTCL,Consumer Cyclical,365.78
BCG,Communication Services,1824.46
BCLIND,Consumer Defensive,940.98
BCONCEPTS,Consumer Cyclical,279.82
BCPL,Industrials,113.35
BDL,Industrials,45303.46
BEARDSELL,Industrials,98.24
BECTORFOOD,Consumer Defensive,5782.91
BEDMUTHA,Basic Materials,349.42
BEL,Industrials,312712.34
BELLACASA,Consumer Cyclical,367.17
BELRISE,Consumer Cyclical,16916.6
BEML,Industrials,12660.49
BEPL,Basic Materials,2137.2
BERGEPAINT,Basic Materials,50242.08
BESTAGRO,Basic Materials,533.1
BETA,Healthcare,1539.72
BFINVEST,Financial Services,1347.37
BFUTILITIE,Industrials,1587.25
BGRENERGY,Industrials,1959.04
BHAGCHEM,Basic Materials,2818.94
BHAGERIA,Basic Materials,676.68
BHAGYANGR,Basic Materials,495.92
BHANDARI,Consumer Cyclical,110.21
BHARATCOAL,Basic Materials,0.0
BHARATFORG,Consumer Cyclical,79902.96
BHARATGEAR,Consumer Cyclical,147.1
BHARATRAS,Basic Materials,2309.33
BHARATSE,Consumer Cyclical,1027.21
BHARATWIRE,Basic Materials,1104.97
BHARTIARTL,Communication Services,1114922.13
BHARTIHEXA,Communication Services,76125.0
BHEL,Industrials,88301.65
BIGBLOC,Industrials,663.71
BIKAJI,Consumer Defensive,15761.38
